Time (s),I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.242,0.0442,-0.2363,-0.3347,0.1638,0.19616,-0.2816,0.25166,0.15072,0.17772,0.17606,-0.03276,-0.2469
0.244,0.03616,-0.2363,-0.32908,0.17126,0.18782,-0.2816,0.25166,0.15072,0.17592,0.17434,-0.03276,-0.2469
0.246,0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.24668,0.14654,0.17234,0.17262,-0.03494,-0.2469
0.248,0.03616,-0.23144,-0.32346,0.1638,0.18782,-0.27634,0.2417,0.14654,0.17054,0.16746,-0.03494,-0.25062
0.25,0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.25166,0.14864,0.17414,0.16918,-0.03276,-0.25062
0.252,0.02008,-0.22656,-0.3122,0.17126,0.16276,-0.26582,0.25664,0.15282,0.17772,0.17434,-0.0284,-0.2432
0.254,0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.25664,0.15492,0.17952,0.17434,-0.0284,-0.2432
0.256,0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.24668,0.15072,0.17592,0.1709,-0.03058,-0.25062
0.258,0.01204,-0.2363,-0.31784,0.1787,0.16276,-0.27108,0.24668,0.14864,0.17414,0.16918,-0.03494,-0.25434
0.26,0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.24668,0.15072,0.17592,0.1709,-0.03276,-0.25062
0.262,0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.2367,0.14864,0.17414,0.1709,-0.03494,-0.25434
0.264,0.01204,-0.2363,-0.31784,0.1787,0.16276,-0.27108,0.23172,0.14654,0.17234,0.16746,-0.03714,-0.25804
0.266,0.004,-0.24118,-0.31784,0.18614,0.16276,-0.27634,0.23172,0.14444,0.17054,0.16746,-0.03494,-0.25804
0.268,0.004,-0.24606,-0.31784,0.1936,0.16276,-0.2816,0.2367,0.14654,0.17234,0.16918,-0.03276,-0.25062
0.27,0.004,-0.24606,-0.31784,0.1936,0.16276,-0.2816,0.2417,0.14654,0.17234,0.16918,-0.03276,-0.2469
0.272,0.0442,-0.2363,-0.3347,0.1638,0.19616,-0.2816,0.24668,0.14654,0.17414,0.16918,-0.03276,-0.2469
0.274,0.05224,-0.23144,-0.3347,0.15636,0.20452,-0.2816,0.2417,0.14654,0.17234,0.16746,-0.03494,-0.2469
0.276,0.02812,-0.22656,-0.31784,0.1638,0.17112,-0.26582,0.2417,0.14864,0.17054,0.16746,-0.03932,-0.25062
0.278,0.01204,-0.22656,-0.30658,0.17126,0.15442,-0.26056,0.24668,0.14864,0.17234,0.16918,-0.03932,-0.25434
0.28,0.0442,-0.2217,-0.31784,0.15636,0.18782,-0.26582,0.2367,0.14654,0.17234,0.16918,-0.0415,-0.26176
0.282,0.05224,-0.22656,-0.32908,0.15636,0.19616,-0.27634,0.23172,0.14234,0.16874,0.16574,-0.04368,-0.26918
0.284,0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.23172,0.14234,0.17234,0.16746,-0.03714,-0.26176
0.286,0.004,-0.23144,-0.30658,0.1787,0.15442,-0.26582,0.2417,0.14654,0.17414,0.1709,-0.03494,-0.25434
0.288,-0.01206,-0.24118,-0.30658,0.1936,0.14608,-0.27108,0.2367,0.14444,0.17054,0.16746,-0.03714,-0.25434
0.29,-0.00402,-0.24606,-0.31784,0.1936,0.15442,-0.27634,0.23172,0.14234,0.16874,0.16404,-0.03932,-0.25434
